Date,Price
2023-05-16,6230.0
2023-05-17,6250.0
2023-05-18,6230.0
2023-05-19,6300.0
2023-05-22,6390.0
2023-05-23,6390.0
2023-05-24,6600.0
2023-05-25,6500.0
2023-05-26,6410.0
2023-05-30,6460.0
2023-05-31,6350.0
2023-06-01,6310.0
2023-06-02,6300.0
2023-06-05,6370.0
2023-06-07,6400.0
2023-06-08,6450.0
2023-06-09,6330.0
2023-06-12,6370.0
2023-06-13,6380.0
2023-06-14,6340.0
2023-06-15,6260.0
2023-06-16,6430.0
2023-06-19,6450.0
2023-06-20,6440.0
2023-06-21,6320.0
2023-06-22,6360.0
2023-06-23,6270.0
2023-06-26,6320.0
2023-06-27,6300.0
2023-06-28,6280.0
2023-06-29,6140.0
2023-06-30,6120.0
2023-07-03,6100.0
2023-07-04,6100.0
2023-07-05,6050.0
2023-07-06,5800.0
2023-07-07,5780.0
2023-07-10,5830.0
2023-07-11,5890.0
2023-07-12,5890.0
2023-07-13,5840.0
2023-07-14,5880.0
2023-07-17,5920.0
2023-07-18,5790.0
2023-07-19,5710.0
2023-07-20,5650.0
2023-07-21,5630.0
2023-07-24,5520.0
2023-07-25,5320.0
2023-07-26,5080.0
2023-07-27,5390.0
2023-07-28,5470.0
2023-07-31,5490.0
2023-08-01,5540.0
2023-08-02,5500.0
2023-08-03,5480.0
2023-08-04,5520.0
2023-08-07,5510.0
2023-08-08,5440.0
2023-08-09,5500.0
2023-08-10,5690.0
2023-08-11,5610.0
2023-08-14,5490.0
2023-08-16,5460.0
2023-08-17,5440.0
2023-08-18,5490.0
2023-08-21,5510.0
2023-08-22,5450.0
2023-08-23,5470.0
2023-08-24,5430.0
2023-08-25,5524.4580078125
