Date,Price
2023-05-16,86600.0
2023-05-17,86600.0
2023-05-18,86900.0
2023-05-19,88200.0
2023-05-22,87700.0
2023-05-23,87500.0
2023-05-24,87500.0
2023-05-25,86500.0
2023-05-26,85900.0
2023-05-30,84600.0
2023-05-31,84300.0
2023-06-01,83800.0
2023-06-02,83600.0
2023-06-05,83800.0
2023-06-07,83500.0
2023-06-08,82200.0
2023-06-09,82100.0
2023-06-12,81300.0
2023-06-13,80600.0
2023-06-14,81200.0
2023-06-15,81000.0
2023-06-16,81300.0
2023-06-19,82300.0
2023-06-20,82100.0
2023-06-21,80500.0
2023-06-22,79800.0
2023-06-23,78400.0
2023-06-26,78100.0
2023-06-27,78400.0
2023-06-28,77900.0
2023-06-29,76200.0
2023-06-30,76900.0
2023-07-03,77900.0
2023-07-04,76300.0
2023-07-05,75600.0
2023-07-06,75000.0
2023-07-07,75200.0
2023-07-10,77100.0
2023-07-11,77400.0
2023-07-12,77400.0
2023-07-13,78300.0
2023-07-14,79000.0
2023-07-17,78300.0
2023-07-18,76400.0
2023-07-19,78400.0
2023-07-20,78200.0
2023-07-21,77100.0
2023-07-24,75600.0
2023-07-25,74800.0
2023-07-26,72800.0
2023-07-27,76900.0
2023-07-28,75500.0
2023-07-31,75700.0
2023-08-01,77400.0
2023-08-02,76600.0
2023-08-03,76000.0
2023-08-04,78500.0
2023-08-07,79300.0
2023-08-08,80000.0
2023-08-09,81000.0
2023-08-10,82500.0
2023-08-11,79800.0
2023-08-14,77700.0
2023-08-16,73500.0
2023-08-17,71700.0
2023-08-18,71100.0
2023-08-21,72300.0
2023-08-22,72700.0
2023-08-23,73200.0
2023-08-24,72200.0
2023-08-25,72545.0625
