Date,Price
2023-05-16,8960.0
2023-05-17,9040.0
2023-05-18,8910.0
2023-05-19,8860.0
2023-05-22,8960.0
2023-05-23,8900.0
2023-05-24,9050.0
2023-05-25,9160.0
2023-05-26,8910.0
2023-05-30,8880.0
2023-05-31,8840.0
2023-06-01,8740.0
2023-06-02,8830.0
2023-06-05,8860.0
2023-06-07,8910.0
2023-06-08,9120.0
2023-06-09,9040.0
2023-06-12,9090.0
2023-06-13,9080.0
2023-06-14,9120.0
2023-06-15,9110.0
2023-06-16,9220.0
2023-06-19,9050.0
2023-06-20,8920.0
2023-06-21,8830.0
2023-06-22,8900.0
2023-06-23,8820.0
2023-06-26,8940.0
2023-06-27,9080.0
2023-06-28,9120.0
2023-06-29,9040.0
2023-06-30,8930.0
2023-07-03,9110.0
2023-07-04,9180.0
2023-07-05,8940.0
2023-07-06,8900.0
2023-07-07,8820.0
2023-07-10,8810.0
2023-07-11,8930.0
2023-07-12,8940.0
2023-07-13,8940.0
2023-07-14,8890.0
2023-07-17,8950.0
2023-07-18,8810.0
2023-07-19,8650.0
2023-07-20,8500.0
2023-07-21,8510.0
2023-07-24,8320.0
2023-07-25,8200.0
2023-07-26,7890.0
2023-07-27,8070.0
2023-07-28,8150.0
2023-07-31,8220.0
2023-08-01,8290.0
2023-08-02,8210.0
2023-08-03,8200.0
2023-08-04,8170.0
2023-08-07,8300.0
2023-08-08,8290.0
2023-08-09,8280.0
2023-08-10,8320.0
2023-08-11,8480.0
2023-08-14,8470.0
2023-08-16,8360.0
2023-08-17,8320.0
2023-08-18,8410.0
2023-08-21,8190.0
2023-08-22,8500.0
2023-08-23,8450.0
2023-08-24,8430.0
2023-08-25,8318.205078125
