Time,KS11,KQ11,KS200,USD/KRW,JPY/KRW,BTC/KRW
13:07,2530.100098,885.299988,335.059998,1328.829956,8.996,34405388.0
13:08,2530.340088,885.099976,335.01001,1328.880005,8.996,34404760.0
13:09,2530.02002,885.099976,335.089996,1328.76001,8.996,34401528.0
13:10,2529.899902,884.890015,335.100006,1328.790039,8.996,34397828.0
13:11,2530.02002,885.380005,335.059998,1328.790039,8.996,34400844.0
13:12,2531.639893,885.47998,335.230011,1328.849976,8.995,34395080.0
13:13,2531.159912,885.27002,335.519989,1328.719971,8.995,34396232.0
13:14,2530.540039,885.369995,335.179993,1328.790039,8.995,34392900.0
13:15,2531.090088,885.289978,335.350006,1328.699951,8.995,34396968.0
13:16,2531.870117,885.219971,335.190002,1328.550049,8.995,34396556.0
13:17,2530.949951,885.22998,335.390015,1328.430054,8.994,34375700.0
13:18,2531.080078,885.210022,335.299988,1328.430054,8.994,34369788.0
13:19,2530.580078,885.380005,335.25,1328.5,8.994,34365356.0
13:20,2531.100098,885.219971,335.25,1328.589966,8.994,34370424.0
13:21,2531.5,885.109985,335.420013,1328.51001,8.994,34375184.0
13:22,2530.429932,885.349976,335.220001,1328.430054,8.992,34373196.0
13:23,2530.110107,885.280029,335.130005,1328.5,8.992,34386616.0
13:24,2529.919922,885.01001,335.119995,1328.5,8.992,34388144.0
13:25,2529.719971,884.530029,334.970001,1328.439941,8.992,34394952.0
13:26,2529.719971,884.5,335.119995,1328.530029,8.992,34405868.0
13:27,2528.830078,884.909973,334.950012,1328.449951,8.993,34437120.0
13:28,2528.889893,884.530029,334.959991,1328.410034,8.993,34438708.0
13:29,2529.419922,884.400024,334.920013,1328.380005,8.993,34449900.0
13:31,2530.02002,884.469971,335.149994,1328.22998,8.993,34444140.0
13:32,2530.280029,884.469971,335.130005,1328.26001,8.988,34437372.0
13:33,2530.340088,884.549988,335.220001,1328.27002,8.988,34437372.0
13:34,2530.919922,884.909973,335.309998,1328.180054,8.988,34443088.0
13:35,2531.459961,885.450012,335.149994,1328.27002,8.988,34453628.0
13:36,2531.48999,885.570007,335.26001,1328.540039,8.988,34454552.0
13:37,2531.699951,885.960022,335.429993,1328.52002,8.992,34457084.0
13:38,2531.330078,886.099976,335.25,1328.560059,8.992,34451832.0
13:39,2533.48999,886.02002,335.769989,1328.790039,8.992,34446856.0
13:40,2534.27002,886.27002,335.640015,1328.719971,8.992,34455332.0
13:41,2535.040039,886.570007,335.790009,1328.689941,8.992,34447580.0
13:42,2534.409912,886.789978,335.670013,1328.76001,8.992,34449036.0
13:43,2535.290039,886.640015,335.910004,1328.699951,8.992,34450084.0
13:44,2534.169922,886.51001,335.690002,1328.589966,8.992,34440416.0
13:45,2533.47998,886.419983,335.730011,1328.790039,8.992,34444456.0
13:46,2533.889893,886.23999,335.600006,1328.719971,8.992,34452636.0
13:47,2533.550049,886.299988,335.630005,1328.849976,8.994,34452640.0
13:48,2533.419922,886.049988,335.679993,1328.890015,8.994,34450032.0
13:49,2533.100098,886.049988,335.600006,1328.650024,8.994,34454552.0
13:50,2532.73999,885.549988,335.470001,1328.650024,8.994,34453836.0
13:51,2533.100098,885.570007,335.609985,1328.630005,8.994,34454136.0
13:52,2534.389893,885.969971,335.600006,1328.589966,8.992,34458220.0
13:53,2532.530029,886.359985,335.609985,1328.300049,8.992,34447384.0
13:54,2533.090088,886.190002,335.410004,1328.25,8.992,34442344.0
13:55,2531.73999,885.859985,335.350006,1328.219971,8.992,34430660.0
13:56,2531.580078,885.919983,335.350006,1328.069946,8.992,34428456.0
13:57,2533.340088,885.830017,335.630005,1328.140015,8.988,34434868.0
13:58,2532.830078,885.820007,335.579987,1327.900024,8.988,34421116.0
13:59,2532.209961,885.840027,335.570007,1328.109985,8.988,34419192.0
14:00,2532.219971,886.26001,335.429993,1328.150024,8.988,34422200.0
14:01,2532.639893,886.080017,335.51001,1327.709961,8.988,34431124.0
14:02,2533.389893,886.340027,335.459991,1327.560059,8.988,34432064.0
14:03,2532.889893,886.390015,335.570007,1327.790039,8.988,34422140.0
14:04,2533.449951,886.309998,335.420013,1327.51001,8.988,34416416.0
14:35,2536.629883,886.98999,336.23999,1328.25,8.989,34349268.0
14:36,2536.189941,886.669983,336.070007,1328.27002,8.989,34346260.0
14:37,2535.939941,886.52002,336.089996,1328.400024,8.992,34346260.0
14:38,2536.060059,886.130005,336.029999,1328.349976,8.992,34370392.0
