Date,Price
2023-05-22,458000.0
2023-05-23,457000.0
2023-05-24,459000.0
2023-05-25,453000.0
2023-05-26,450000.0
2023-05-30,449000.0
2023-05-31,444500.0
2023-06-01,443500.0
2023-06-02,452000.0
2023-06-05,456000.0
2023-06-07,459000.0
2023-06-08,456500.0
2023-06-09,452500.0
2023-06-12,452500.0
2023-06-13,451500.0
2023-06-14,447000.0
2023-06-15,444500.0
2023-06-16,441500.0
2023-06-19,428500.0
2023-06-20,424000.0
2023-06-21,420000.0
2023-06-22,417000.0
2023-06-23,408000.0
2023-06-26,403000.0
2023-06-27,404500.0
2023-06-28,400000.0
2023-06-29,388500.0
2023-06-30,392500.0
2023-07-03,399000.0
2023-07-04,394500.0
2023-07-05,390500.0
2023-07-06,386000.0
2023-07-07,378000.0
2023-07-10,378000.0
2023-07-11,376000.0
2023-07-12,377500.0
2023-07-13,378500.0
2023-07-14,385000.0
2023-07-17,379000.0
2023-07-18,374500.0
2023-07-19,372000.0
2023-07-20,370500.0
2023-07-21,371000.0
2023-07-24,361500.0
2023-07-25,353500.0
2023-07-26,346500.0
2023-07-27,360500.0
2023-07-28,355000.0
2023-07-31,356500.0
2023-08-01,366500.0
2023-08-02,364000.0
2023-08-03,366000.0
2023-08-04,366500.0
2023-08-07,371500.0
2023-08-08,368500.0
2023-08-09,369000.0
2023-08-10,375000.0
2023-08-11,379500.0
2023-08-14,390000.0
2023-08-16,374000.0
2023-08-17,371000.0
2023-08-18,368000.0
2023-08-21,366500.0
2023-08-22,370000.0
2023-08-23,366000.0
2023-08-24,364000.0
2023-08-25,369000.0
2023-08-28,371000.0
2023-08-29,369500.0
2023-08-30,368835.625
