Date,Price
2023-05-17,6140.0
2023-05-18,6160.0
2023-05-19,6180.0
2023-05-22,6180.0
2023-05-23,6270.0
2023-05-24,6210.0
2023-05-25,6270.0
2023-05-26,6370.0
2023-05-30,6230.0
2023-05-31,6330.0
2023-06-01,6450.0
2023-06-02,6370.0
2023-06-05,6290.0
2023-06-07,6660.0
2023-06-08,6900.0
2023-06-09,7060.0
2023-06-12,7140.0
2023-06-13,6820.0
2023-06-14,6820.0
2023-06-15,7010.0
2023-06-16,6900.0
2023-06-19,6750.0
2023-06-20,6880.0
2023-06-21,6930.0
2023-06-22,7170.0
2023-06-23,7410.0
2023-06-26,7390.0
2023-06-27,7650.0
2023-06-28,7470.0
2023-06-29,7040.0
2023-06-30,6900.0
2023-07-03,6900.0
2023-07-04,6850.0
2023-07-05,6910.0
2023-07-06,6900.0
2023-07-07,7150.0
2023-07-10,7130.0
2023-07-11,7190.0
2023-07-12,7090.0
2023-07-13,7040.0
2023-07-14,7030.0
2023-07-17,7100.0
2023-07-18,7010.0
2023-07-19,7050.0
2023-07-20,7060.0
2023-07-21,7120.0
2023-07-24,7350.0
2023-07-25,7400.0
2023-07-26,7300.0
2023-07-27,7270.0
2023-07-28,7300.0
2023-07-31,7600.0
2023-08-01,7620.0
2023-08-02,7340.0
2023-08-03,7150.0
2023-08-04,7200.0
2023-08-07,7350.0
2023-08-08,7300.0
2023-08-09,7260.0
2023-08-10,7240.0
2023-08-11,7300.0
2023-08-14,7160.0
2023-08-16,7140.0
2023-08-17,7160.0
2023-08-18,7120.0
2023-08-21,7550.0
2023-08-22,7520.0
2023-08-23,7650.0
2023-08-24,7660.0
2023-08-25,7500.0
2023-08-26,7547.71923828125
