Date,Price
2023-05-17,2330.0
2023-05-18,2400.0
2023-05-19,2455.0
2023-05-22,2445.0
2023-05-23,2470.0
2023-05-24,2390.0
2023-05-25,2400.0
2023-05-26,2315.0
2023-05-30,2290.0
2023-05-31,2275.0
2023-06-01,2250.0
2023-06-02,2245.0
2023-06-05,2290.0
2023-06-07,2285.0
2023-06-08,2250.0
2023-06-09,2240.0
2023-06-12,2240.0
2023-06-13,2275.0
2023-06-14,2300.0
2023-06-15,2265.0
2023-06-16,2245.0
2023-06-19,2195.0
2023-06-20,2240.0
2023-06-21,2280.0
2023-06-22,2230.0
2023-06-23,2240.0
2023-06-26,2285.0
2023-06-27,2280.0
2023-06-28,2255.0
2023-06-29,2230.0
2023-06-30,2310.0
2023-07-03,2330.0
2023-07-04,2310.0
2023-07-05,2320.0
2023-07-06,2300.0
2023-07-07,2240.0
2023-07-10,2210.0
2023-07-11,2170.0
2023-07-12,2280.0
2023-07-13,2400.0
2023-07-14,2400.0
2023-07-17,2450.0
2023-07-18,2450.0
2023-07-19,2415.0
2023-07-20,2360.0
2023-07-21,2385.0
2023-07-24,2390.0
2023-07-25,2370.0
2023-07-26,2265.0
2023-07-27,2360.0
2023-07-28,2340.0
2023-07-31,2315.0
2023-08-01,2320.0
2023-08-02,2320.0
2023-08-03,2360.0
2023-08-04,2370.0
2023-08-07,2315.0
2023-08-08,2320.0
2023-08-09,2470.0
2023-08-10,2475.0
2023-08-11,2480.0
2023-08-14,2350.0
2023-08-16,2290.0
2023-08-17,2375.0
2023-08-18,2355.0
2023-08-21,2390.0
2023-08-22,2390.0
2023-08-23,2495.0
2023-08-24,2450.0
2023-08-25,2475.0
2023-08-26,2428.584716796875
