Date,Price
2023-05-17,3695.0
2023-05-18,3705.0
2023-05-19,3710.0
2023-05-22,3720.0
2023-05-23,3750.0
2023-05-24,3805.0
2023-05-25,3770.0
2023-05-26,3740.0
2023-05-30,3770.0
2023-05-31,3765.0
2023-06-01,3780.0
2023-06-02,3815.0
2023-06-05,3820.0
2023-06-07,3830.0
2023-06-08,3840.0
2023-06-09,3845.0
2023-06-12,3810.0
2023-06-13,3820.0
2023-06-14,3780.0
2023-06-15,3780.0
2023-06-16,3800.0
2023-06-19,3765.0
2023-06-20,3770.0
2023-06-21,3795.0
2023-06-22,3795.0
2023-06-23,3745.0
2023-06-26,3770.0
2023-06-27,3750.0
2023-06-28,3725.0
2023-06-29,3710.0
2023-06-30,3720.0
2023-07-03,3755.0
2023-07-04,3720.0
2023-07-05,3710.0
2023-07-06,3710.0
2023-07-07,3670.0
2023-07-10,3640.0
2023-07-11,3695.0
2023-07-12,3650.0
2023-07-13,3685.0
2023-07-14,3710.0
2023-07-17,3670.0
2023-07-18,3630.0
2023-07-19,3625.0
2023-07-20,3615.0
2023-07-21,3585.0
2023-07-24,3555.0
2023-07-25,3545.0
2023-07-26,3500.0
2023-07-27,3550.0
2023-07-28,3525.0
2023-07-31,3550.0
2023-08-01,3595.0
2023-08-02,3580.0
2023-08-03,3585.0
2023-08-04,3600.0
2023-08-07,3625.0
2023-08-08,3610.0
2023-08-09,3630.0
2023-08-10,3615.0
2023-08-11,3590.0
2023-08-14,3570.0
2023-08-16,3550.0
2023-08-17,3545.0
2023-08-18,3550.0
2023-08-21,3560.0
2023-08-22,3550.0
2023-08-23,3555.0
2023-08-24,3560.0
2023-08-25,3560.0
2023-08-26,3540.344482421875
