Date,Price
2023-05-15,2335.0
2023-05-16,2325.0
2023-05-17,2375.0
2023-05-18,2350.0
2023-05-19,2370.0
2023-05-22,2400.0
2023-05-23,2405.0
2023-05-24,2380.0
2023-05-25,2370.0
2023-05-26,2335.0
2023-05-30,2385.0
2023-05-31,2370.0
2023-06-01,2370.0
2023-06-02,2370.0
2023-06-05,2390.0
2023-06-07,2395.0
2023-06-08,2380.0
2023-06-09,2395.0
2023-06-12,2400.0
2023-06-13,2400.0
2023-06-14,2360.0
2023-06-15,2350.0
2023-06-16,2340.0
2023-06-19,2350.0
2023-06-20,2425.0
2023-06-21,2400.0
2023-06-22,2385.0
2023-06-23,2370.0
2023-06-26,2515.0
2023-06-27,2505.0
2023-06-28,2460.0
2023-06-29,2495.0
2023-06-30,2460.0
2023-07-03,2470.0
2023-07-04,2470.0
2023-07-05,2435.0
2023-07-06,2385.0
2023-07-07,2360.0
2023-07-10,2340.0
2023-07-11,2350.0
2023-07-12,2320.0
2023-07-13,2330.0
2023-07-14,2325.0
2023-07-17,2240.0
2023-07-18,2235.0
2023-07-19,2210.0
2023-07-20,2200.0
2023-07-21,1976.0
2023-07-24,1874.0
2023-07-25,1859.0
2023-07-26,1649.0
2023-07-27,1809.0
2023-07-28,1840.0
2023-07-31,1868.0
2023-08-01,1869.0
2023-08-02,1830.0
2023-08-03,1855.0
2023-08-04,1893.0
2023-08-07,1893.0
2023-08-08,1841.0
2023-08-09,1895.0
2023-08-10,1973.0
2023-08-11,2005.0
2023-08-14,2070.0
2023-08-16,1947.0
2023-08-17,1939.0
2023-08-18,1925.0
2023-08-21,1934.0
2023-08-22,1927.0
2023-08-23,1909.2789306640625
