Date,Price
2023-05-15,89300.0
2023-05-16,88300.0
2023-05-17,88200.0
2023-05-18,90300.0
2023-05-19,88800.0
2023-05-22,90000.0
2023-05-23,90000.0
2023-05-24,90700.0
2023-05-25,89000.0
2023-05-26,89400.0
2023-05-30,88600.0
2023-05-31,88600.0
2023-06-01,86300.0
2023-06-02,87700.0
2023-06-05,86700.0
2023-06-07,85800.0
2023-06-08,85700.0
2023-06-09,84700.0
2023-06-12,84100.0
2023-06-13,83800.0
2023-06-14,82400.0
2023-06-15,80000.0
2023-06-16,80500.0
2023-06-19,79600.0
2023-06-20,78100.0
2023-06-21,74200.0
2023-06-22,72800.0
2023-06-23,71800.0
2023-06-26,71300.0
2023-06-27,69900.0
2023-06-28,70700.0
2023-06-29,68500.0
2023-06-30,68300.0
2023-07-03,67200.0
2023-07-04,65700.0
2023-07-05,63800.0
2023-07-06,62100.0
2023-07-07,60600.0
2023-07-10,61400.0
2023-07-11,62700.0
2023-07-12,62400.0
2023-07-13,61600.0
2023-07-14,62500.0
2023-07-17,63300.0
2023-07-18,62200.0
2023-07-19,61900.0
2023-07-20,63500.0
2023-07-21,66200.0
2023-07-24,62900.0
2023-07-25,64200.0
2023-07-26,61700.0
2023-07-27,64400.0
2023-07-28,63800.0
2023-07-31,64800.0
2023-08-01,66300.0
2023-08-02,65900.0
2023-08-03,65700.0
2023-08-04,66800.0
2023-08-07,70400.0
2023-08-08,68500.0
2023-08-09,70000.0
2023-08-10,78400.0
2023-08-11,76500.0
2023-08-14,77000.0
2023-08-16,73700.0
2023-08-17,72300.0
2023-08-18,70400.0
2023-08-21,70600.0
2023-08-22,70900.0
2023-08-23,70030.4296875
