Date,Price
2023-05-15,3320.0
2023-05-16,3300.0
2023-05-17,3415.0
2023-05-18,3455.0
2023-05-19,3495.0
2023-05-22,3465.0
2023-05-23,3480.0
2023-05-24,3480.0
2023-05-25,3440.0
2023-05-26,3405.0
2023-05-30,3490.0
2023-05-31,3475.0
2023-06-01,3480.0
2023-06-02,3480.0
2023-06-05,3470.0
2023-06-07,3550.0
2023-06-08,3595.0
2023-06-09,3555.0
2023-06-12,3560.0
2023-06-13,3585.0
2023-06-14,3485.0
2023-06-15,3495.0
2023-06-16,3540.0
2023-06-19,3475.0
2023-06-20,3560.0
2023-06-21,3570.0
2023-06-22,3570.0
2023-06-23,3555.0
2023-06-26,3535.0
2023-06-27,3540.0
2023-06-28,3550.0
2023-06-29,3375.0
2023-06-30,3460.0
2023-07-03,3490.0
2023-07-04,3485.0
2023-07-05,3420.0
2023-07-06,3265.0
2023-07-07,3275.0
2023-07-10,3310.0
2023-07-11,3305.0
2023-07-12,3210.0
2023-07-13,3310.0
2023-07-14,3270.0
2023-07-17,3235.0
2023-07-18,3240.0
2023-07-19,3210.0
2023-07-20,3240.0
2023-07-21,3225.0
2023-07-24,3080.0
2023-07-25,3115.0
2023-07-26,3050.0
2023-07-27,3155.0
2023-07-28,3265.0
2023-07-31,3400.0
2023-08-01,3410.0
2023-08-02,3330.0
2023-08-03,3335.0
2023-08-04,3335.0
2023-08-07,3340.0
2023-08-08,3300.0
2023-08-09,3325.0
2023-08-10,3325.0
2023-08-11,3330.0
2023-08-14,3310.0
2023-08-16,3210.0
2023-08-17,3175.0
2023-08-18,3180.0
2023-08-21,3280.0
2023-08-22,3265.0
2023-08-23,3215.346435546875
