Date,Price
2023-05-15,10522.0
2023-05-16,10459.0
2023-05-17,10452.0
2023-05-18,10445.0
2023-05-19,10522.0
2023-05-22,10592.0
2023-05-23,10620.0
2023-05-24,10690.0
2023-05-25,10571.0
2023-05-26,10508.0
2023-05-30,10983.0
2023-05-31,10899.0
2023-06-01,11284.0
2023-06-02,11291.0
2023-06-05,10844.0
2023-06-07,10746.0
2023-06-08,10480.0
2023-06-09,10620.0
2023-06-12,10557.0
2023-06-13,10494.0
2023-06-14,10501.0
2023-06-15,10173.0
2023-06-16,10047.0
2023-06-19,9879.0
2023-06-20,10131.0
2023-06-21,7993.0
2023-06-22,7336.0
2023-06-23,6952.0
2023-06-26,6840.0
2023-06-27,6700.0
2023-06-28,6791.0
2023-06-29,6386.0
2023-06-30,6498.0
2023-07-03,6567.0
2023-07-04,6505.0
2023-07-05,6372.0
2023-07-06,6176.0
2023-07-07,6078.0
2023-07-10,6288.0
2023-07-11,6560.0
2023-07-12,6505.0
2023-07-13,6463.0
2023-07-14,6498.0
2023-07-17,6735.0
2023-07-18,6546.0
2023-07-19,6672.0
2023-07-20,6805.0
2023-07-21,7615.0
2023-07-24,7050.0
2023-07-25,8174.0
2023-07-26,7755.0
2023-07-27,8140.0
2023-07-28,8940.0
2023-07-31,9300.0
2023-08-01,9040.0
2023-08-02,8980.0
2023-08-03,8780.0
2023-08-04,8890.0
2023-08-07,8930.0
2023-08-08,8840.0
2023-08-09,8820.0
2023-08-10,9150.0
2023-08-11,9000.0
2023-08-14,8960.0
2023-08-16,8800.0
2023-08-17,8310.0
2023-08-18,7730.0
2023-08-21,7950.0
2023-08-22,7640.0
2023-08-23,7916.724609375
