Date,Price
2023-05-22,56000.0
2023-05-23,55800.0
2023-05-24,55300.0
2023-05-25,54800.0
2023-05-26,55200.0
2023-05-30,55100.0
2023-05-31,54600.0
2023-06-01,53700.0
2023-06-02,52800.0
2023-06-05,54400.0
2023-06-07,54400.0
2023-06-08,54500.0
2023-06-09,54000.0
2023-06-12,53700.0
2023-06-13,53500.0
2023-06-14,53300.0
2023-06-15,52700.0
2023-06-16,53900.0
2023-06-19,54700.0
2023-06-20,55100.0
2023-06-21,54000.0
2023-06-22,53300.0
2023-06-23,52000.0
2023-06-26,51800.0
2023-06-27,51500.0
2023-06-28,51700.0
2023-06-29,50000.0
2023-06-30,51000.0
2023-07-03,50900.0
2023-07-04,50200.0
2023-07-05,50800.0
2023-07-06,50400.0
2023-07-07,49100.0
2023-07-10,50300.0
2023-07-11,50400.0
2023-07-12,51300.0
2023-07-13,51100.0
2023-07-14,51000.0
2023-07-17,50400.0
2023-07-18,50000.0
2023-07-19,49850.0
2023-07-20,49950.0
2023-07-21,50200.0
2023-07-24,49550.0
2023-07-25,48000.0
2023-07-26,46050.0
2023-07-27,48350.0
2023-07-28,48250.0
2023-07-31,48600.0
2023-08-01,49050.0
2023-08-02,48650.0
2023-08-03,48400.0
2023-08-04,48650.0
2023-08-07,48950.0
2023-08-08,48300.0
2023-08-09,48000.0
2023-08-10,52800.0
2023-08-11,53000.0
2023-08-14,53000.0
2023-08-16,51600.0
2023-08-17,50600.0
2023-08-18,50400.0
2023-08-21,49450.0
2023-08-22,48900.0
2023-08-23,48000.0
2023-08-24,48200.0
2023-08-25,48250.0
2023-08-28,49300.0
2023-08-29,49300.0
2023-08-30,48981.3515625
