Date,Price
2023-05-15,1013.0
2023-05-16,1039.0
2023-05-17,1039.0
2023-05-18,1050.0
2023-05-19,1151.0
2023-05-22,1496.0
2023-05-23,1944.0
2023-05-24,2115.0
2023-05-25,2155.0
2023-05-26,2055.0
2023-05-30,1900.0
2023-05-31,2045.0
2023-06-01,2015.0
2023-06-02,2180.0
2023-06-05,2195.0
2023-06-07,2300.0
2023-06-08,2230.0
2023-06-09,2385.0
2023-06-12,2710.0
2023-06-13,2735.0
2023-06-14,2760.0
2023-06-15,2650.0
2023-06-16,2925.0
2023-06-19,3800.0
2023-06-20,3810.0
2023-06-21,4030.0
2023-06-22,3950.0
2023-06-23,3800.0
2023-06-26,3440.0
2023-06-27,3475.0
2023-06-28,3170.0
2023-06-29,3215.0
2023-06-30,3090.0
2023-07-03,3460.0
2023-07-04,3650.0
2023-07-05,3510.0
2023-07-06,3530.0
2023-07-07,3910.0
2023-07-10,4940.0
2023-07-11,4730.0
2023-07-12,4875.0
2023-07-13,4875.0
2023-07-14,4795.0
2023-07-17,5010.0
2023-07-18,4705.0
2023-07-19,4685.0
2023-07-20,4450.0
2023-07-21,4435.0
2023-07-24,4295.0
2023-07-25,4265.0
2023-07-26,3740.0
2023-07-27,3525.0
2023-07-28,3625.0
2023-07-31,3770.0
2023-08-01,3595.0
2023-08-02,3500.0
2023-08-03,3625.0
2023-08-04,3600.0
2023-08-07,3365.0
2023-08-08,3340.0
2023-08-09,3465.0
2023-08-10,3330.0
2023-08-11,3340.0
2023-08-14,3160.0
2023-08-16,3025.0
2023-08-17,3050.0
2023-08-18,3370.0
2023-08-21,3100.0
2023-08-22,3115.0
2023-08-23,3270.0
2023-08-24,3331.1279296875
