Date,Price
2023-05-15,56800.0
2023-05-16,56100.0
2023-05-17,57700.0
2023-05-18,57200.0
2023-05-19,57900.0
2023-05-22,57900.0
2023-05-23,58000.0
2023-05-24,56800.0
2023-05-25,56700.0
2023-05-26,56600.0
2023-05-30,56800.0
2023-05-31,56200.0
2023-06-01,56100.0
2023-06-02,57200.0
2023-06-05,57100.0
2023-06-07,57400.0
2023-06-08,56500.0
2023-06-09,56400.0
2023-06-12,56600.0
2023-06-13,56400.0
2023-06-14,55700.0
2023-06-15,53900.0
2023-06-16,53600.0
2023-06-19,52500.0
2023-06-20,51700.0
2023-06-21,50500.0
2023-06-22,50300.0
2023-06-23,49700.0
2023-06-26,50000.0
2023-06-27,49350.0
2023-06-28,49000.0
2023-06-29,49000.0
2023-06-30,49100.0
2023-07-03,51000.0
2023-07-04,49950.0
2023-07-05,48850.0
2023-07-06,50900.0
2023-07-07,49850.0
2023-07-10,49850.0
2023-07-11,50700.0
2023-07-12,51600.0
2023-07-13,51900.0
2023-07-14,52800.0
2023-07-17,52700.0
2023-07-18,51800.0
2023-07-19,50400.0
2023-07-20,50500.0
2023-07-21,50600.0
2023-07-24,49850.0
2023-07-25,48850.0
2023-07-26,47800.0
2023-07-27,50600.0
2023-07-28,50600.0
2023-07-31,51300.0
2023-08-01,54900.0
2023-08-02,53200.0
2023-08-03,53300.0
2023-08-04,51800.0
2023-08-07,52700.0
2023-08-08,51800.0
2023-08-09,52800.0
2023-08-10,52600.0
2023-08-11,51600.0
2023-08-14,50700.0
2023-08-16,50300.0
2023-08-17,49250.0
2023-08-18,48450.0
2023-08-21,48400.0
2023-08-22,48650.0
2023-08-23,48900.0
2023-08-24,49048.8125
