Date,Price
2023-05-15,5670.0
2023-05-16,5610.0
2023-05-17,5640.0
2023-05-18,5810.0
2023-05-19,5770.0
2023-05-22,5820.0
2023-05-23,5820.0
2023-05-24,5820.0
2023-05-25,5830.0
2023-05-26,5820.0
2023-05-30,5800.0
2023-05-31,5780.0
2023-06-01,5790.0
2023-06-02,5700.0
2023-06-05,5720.0
2023-06-07,5720.0
2023-06-08,5800.0
2023-06-09,5800.0
2023-06-12,5780.0
2023-06-13,5800.0
2023-06-14,5780.0
2023-06-15,5750.0
2023-06-16,5780.0
2023-06-19,5740.0
2023-06-20,5740.0
2023-06-21,5720.0
2023-06-22,5790.0
2023-06-23,5780.0
2023-06-26,5770.0
2023-06-27,5760.0
2023-06-28,5830.0
2023-06-29,5840.0
2023-06-30,5810.0
2023-07-03,5920.0
2023-07-04,5920.0
2023-07-05,6040.0
2023-07-06,6000.0
2023-07-07,5980.0
2023-07-10,5920.0
2023-07-11,5970.0
2023-07-12,6000.0
2023-07-13,6000.0
2023-07-14,5990.0
2023-07-17,5960.0
2023-07-18,5970.0
2023-07-19,5950.0
2023-07-20,5950.0
2023-07-21,6000.0
2023-07-24,5990.0
2023-07-25,5980.0
2023-07-26,5800.0
2023-07-27,5900.0
2023-07-28,5910.0
2023-07-31,6050.0
2023-08-01,6060.0
2023-08-02,6010.0
2023-08-03,5960.0
2023-08-04,6050.0
2023-08-07,6030.0
2023-08-08,6020.0
2023-08-09,5970.0
2023-08-10,6020.0
2023-08-11,6160.0
2023-08-14,6150.0
2023-08-16,6010.0
2023-08-17,6010.0
2023-08-18,6020.0
2023-08-21,6050.0
2023-08-22,6020.0
2023-08-23,6040.0
2023-08-24,6050.9140625
