Date,Price
2023-05-15,1039.0
2023-05-16,1037.0
2023-05-17,1039.0
2023-05-18,1041.0
2023-05-19,1045.0
2023-05-22,1057.0
2023-05-23,1061.0
2023-05-24,1068.0
2023-05-25,1093.0
2023-05-26,1062.0
2023-05-30,1066.0
2023-05-31,1075.0
2023-06-01,1071.0
2023-06-02,1069.0
2023-06-05,1072.0
2023-06-07,1075.0
2023-06-08,1065.0
2023-06-09,1132.0
2023-06-12,1093.0
2023-06-13,1096.0
2023-06-14,1074.0
2023-06-15,1074.0
2023-06-16,1084.0
2023-06-19,1106.0
2023-06-20,1110.0
2023-06-21,1106.0
2023-06-22,1120.0
2023-06-23,1107.0
2023-06-26,1100.0
2023-06-27,1106.0
2023-06-28,1106.0
2023-06-29,1085.0
2023-06-30,1080.0
2023-07-03,1086.0
2023-07-04,1081.0
2023-07-05,1066.0
2023-07-06,1058.0
2023-07-07,1035.0
2023-07-10,1030.0
2023-07-11,1036.0
2023-07-12,1032.0
2023-07-13,1038.0
2023-07-14,1037.0
2023-07-17,1047.0
2023-07-18,1028.0
2023-07-19,1026.0
2023-07-20,1025.0
2023-07-21,1017.0
2023-07-24,997.0
2023-07-25,982.0
2023-07-26,935.0
2023-07-27,963.0
2023-07-28,991.0
2023-07-31,992.0
2023-08-01,987.0
2023-08-02,980.0
2023-08-03,982.0
2023-08-04,977.0
2023-08-07,975.0
2023-08-08,969.0
2023-08-09,976.0
2023-08-10,1001.0
2023-08-11,1002.0
2023-08-14,999.0
2023-08-16,986.0
2023-08-17,966.0
2023-08-18,999.0
2023-08-21,984.0
2023-08-22,956.0
2023-08-23,953.0
2023-08-24,957.3953857421875
