Date,Price
2023-05-15,6650.0
2023-05-16,6640.0
2023-05-17,6650.0
2023-05-18,6690.0
2023-05-19,6700.0
2023-05-22,6710.0
2023-05-23,6720.0
2023-05-24,6750.0
2023-05-25,6670.0
2023-05-26,6620.0
2023-05-30,6640.0
2023-05-31,6640.0
2023-06-01,6670.0
2023-06-02,6690.0
2023-06-05,6690.0
2023-06-07,6700.0
2023-06-08,6740.0
2023-06-09,6780.0
2023-06-12,6750.0
2023-06-13,6720.0
2023-06-14,6690.0
2023-06-15,6620.0
2023-06-16,6610.0
2023-06-19,6590.0
2023-06-20,6560.0
2023-06-21,6480.0
2023-06-22,6470.0
2023-06-23,6350.0
2023-06-26,6420.0
2023-06-27,6450.0
2023-06-28,6410.0
2023-06-29,6300.0
2023-06-30,6340.0
2023-07-03,6310.0
2023-07-04,6230.0
2023-07-05,6140.0
2023-07-06,5960.0
2023-07-07,5850.0
2023-07-10,5990.0
2023-07-11,6060.0
2023-07-12,6080.0
2023-07-13,6130.0
2023-07-14,6100.0
2023-07-17,6080.0
2023-07-18,6690.0
2023-07-19,6400.0
2023-07-20,6300.0
2023-07-21,6550.0
2023-07-24,6200.0
2023-07-25,6050.0
2023-07-26,5900.0
2023-07-27,6060.0
2023-07-28,6070.0
2023-07-31,6120.0
2023-08-01,6130.0
2023-08-02,6080.0
2023-08-03,6000.0
2023-08-04,6120.0
2023-08-07,6200.0
2023-08-08,6080.0
2023-08-09,6140.0
2023-08-10,6270.0
2023-08-11,6250.0
2023-08-14,6210.0
2023-08-16,6100.0
2023-08-17,6040.0
2023-08-18,6040.0
2023-08-21,6060.0
2023-08-22,6080.0
2023-08-23,6030.0
2023-08-24,5924.74560546875
