Date,Price
2023-05-15,6480.0
2023-05-16,6340.0
2023-05-17,6420.0
2023-05-18,6420.0
2023-05-19,6610.0
2023-05-22,6620.0
2023-05-23,6560.0
2023-05-24,6470.0
2023-05-25,6460.0
2023-05-26,6410.0
2023-05-30,6420.0
2023-05-31,6410.0
2023-06-01,6420.0
2023-06-02,6360.0
2023-06-05,6390.0
2023-06-07,6390.0
2023-06-08,6360.0
2023-06-09,6380.0
2023-06-12,6380.0
2023-06-13,6380.0
2023-06-14,6310.0
2023-06-15,6310.0
2023-06-16,6380.0
2023-06-19,6370.0
2023-06-20,6400.0
2023-06-21,6360.0
2023-06-22,6320.0
2023-06-23,6190.0
2023-06-26,6110.0
2023-06-27,6110.0
2023-06-28,6080.0
2023-06-29,6100.0
2023-06-30,6130.0
2023-07-03,6120.0
2023-07-04,6110.0
2023-07-05,6030.0
2023-07-06,5790.0
2023-07-07,5730.0
2023-07-10,5870.0
2023-07-11,5930.0
2023-07-12,5990.0
2023-07-13,5990.0
2023-07-14,5990.0
2023-07-17,5980.0
2023-07-18,5960.0
2023-07-19,5940.0
2023-07-20,5850.0
2023-07-21,5780.0
2023-07-24,5700.0
2023-07-25,5610.0
2023-07-26,5410.0
2023-07-27,5430.0
2023-07-28,5690.0
2023-07-31,5730.0
2023-08-01,5860.0
2023-08-02,5900.0
2023-08-03,5910.0
2023-08-04,5940.0
2023-08-07,5990.0
2023-08-08,5950.0
2023-08-09,5870.0
2023-08-10,5940.0
2023-08-11,5940.0
2023-08-14,5860.0
2023-08-16,5710.0
2023-08-17,5580.0
2023-08-18,5440.0
2023-08-21,5540.0
2023-08-22,5620.0
2023-08-23,5750.0
2023-08-24,5509.27392578125
