Date,Price
2023-05-10,1493.0
2023-05-11,1497.0
2023-05-12,1480.0
2023-05-15,1449.0
2023-05-16,1405.0
2023-05-17,1445.0
2023-05-18,1430.0
2023-05-19,1444.0
2023-05-22,1457.0
2023-05-23,1466.0
2023-05-24,1455.0
2023-05-25,1450.0
2023-05-26,1438.0
2023-05-30,1430.0
2023-05-31,1435.0
2023-06-01,1440.0
2023-06-02,1462.0
2023-06-05,1460.0
2023-06-07,1486.0
2023-06-08,1515.0
2023-06-09,1570.0
2023-06-12,1600.0
2023-06-13,1581.0
2023-06-14,1542.0
2023-06-15,1515.0
2023-06-16,1517.0
2023-06-19,1520.0
2023-06-20,1502.0
2023-06-21,1520.0
2023-06-22,1510.0
2023-06-23,1520.0
2023-06-26,1496.0
2023-06-27,1483.0
2023-06-28,1450.0
2023-06-29,1411.0
2023-06-30,1390.0
2023-07-03,1379.0
2023-07-04,1404.0
2023-07-05,1381.0
2023-07-06,1343.0
2023-07-07,1335.0
2023-07-10,1318.0
2023-07-11,1367.0
2023-07-12,1375.0
2023-07-13,1365.0
2023-07-14,1349.0
2023-07-17,1332.0
2023-07-18,1312.0
2023-07-19,1317.0
2023-07-20,1301.0
2023-07-21,1281.0
2023-07-24,1234.0
2023-07-25,1196.0
2023-07-26,1147.0
2023-07-27,1185.0
2023-07-28,1190.0
2023-07-31,1225.0
2023-08-01,1243.0
2023-08-02,1235.0
2023-08-03,1260.0
2023-08-04,1257.0
2023-08-07,1258.0
2023-08-08,1214.0
2023-08-09,1238.0
2023-08-10,1240.0
2023-08-11,1263.0
2023-08-14,1240.0
2023-08-16,1205.0
2023-08-17,1178.0
2023-08-18,1166.0
2023-08-19,1173.304443359375
